Unnamed: 0,title,abstract,author_keywords,document_type,year,assessment|0,assessment|1,assessment|2,assessment|3,context|0,context|1,context|2,context|3,context|4,context|5,method|7,method|3,method|4,method|9,method|0,method|1,method|2,method|8,method|5,method|6,relevance|1,technology|0,technology|1,technology|2,technology|3,technology|4,technology|5,technology|6,technology|7,technology|8,technology|9,technology|16,technology|10,technology|11,technology|?,technology|13,technology|14,technology|15,technology|17,technology|17-ids,technology|17-doi,technology|18,technology|18-ids,technology|17-relevance,technology|18-relevance
713692,Iron fertilisation and century-scale effects of open ocean dissolution of olivine in a simulated CO2 removal experiment,"Carbon dioxide removal (CDR) approaches are efforts to reduce the atmospheric CO2 concentration. Here we use a marine carbon cycle model to investigate the effects of one CDR technique: the open ocean dissolution of the iron-containing mineral olivine. We analyse the maximum CDR potential of an annual dissolution of 3 Pg olivine during the 21st century and focus on the role of the micronutrient iron for the biological carbon pump. Distributing the products of olivine dissolution (bicarbonate, silicic acid, iron) uniformly in the global surface ocean has a maximum CDR potential of 0.57. gC/g-olivine mainly due to the alkalinisation of the ocean, with a significant contribution from the fertilisation of phytoplankton with silicic acid and iron. The part of the CDR caused by ocean fertilisation is not permanent, while the CO2 sequestered by alkalinisation would be stored in the ocean as long as alkalinity is not removed from the system. For high CO2 emission scenarios the CDR potential due to the alkalinity input becomes more efficient over time with increasing ocean acidification. The alkalinity-induced CDR potential scales linearly with the amount of olivine, while the iron-induced CDR saturates at 113 PgC per century (on average similar to 1.1 PgC. yr(-1)) for an iron input rate of 2.3. Tg. Fe. yr(-1) (1% of the iron contained in 3 Pg olivine). The additional iron-related CO2 uptake occurs in the Southern Ocean and in the iron-limited regions of the Pacific. Effects of this approach on surface ocean pH are small (<0.01).",geoengineering; carbon dioxide removal; enhanced weathering; biological carbon pump; iron fertilisation; ocean alkalinisation,Article,2016.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,1,,1,1
626607,"Why NH3 is not a candidate reagent for ambient CO2 fixation: A response to ""Alternative solution to global warming arising from CO2 emissions - Partial neutralization of tropospheric H2CO3 with NH3""","It has been proposed that application of area, or ammonium sulfate (plus lime) to nonagricultural land to evolve ammonia may provide a ""solution"" to increasing CO2 concentrations by neutralizing atmospheric carbonic acid to ammonium bicarbonate at ambient concentrations and subsequent storage in the surface ocean (Apak [2007]. Environmental Progress 26, 355-359). We identify a series of major flaws in this hypothesis, which indicate that The approach is unfeasible and would not succeed if attempted at any scale., (i) The phenomenal energy cost associated with breaking the N  N bond and evolving H-2 for NH3 production (and associated fossil fuel CO2 emissions under the current energy generation market); 00 the radiative forcing associated with substantially increasing the concentration of ammonia in the atmosphere, and (in) a number of unwanted indirect effects, including eutrophication, enhanced N2O emissions, and the inhibition of the oxidation of strong greenhouse gases such as methane in the atmosphere. We strongly urge future efforts to be directed away from this approach and suggest that engagement with the climate, earth-system, and biogeochemistry communities is essential when putting forward ideas for potential geoengineering approaches to mitigate global climate change. (C) 2008 American Institute of Chemical Engineers.",ammonia; ambient CO2 fixation; GEO engineering,Article,2008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,1,1
671620,Contribution of iron to the energetics of CO2 sequestration in Mg-silicates-based rock,"The main purpose of this paper is to investigate the contribution of iron to the energy requirements of a process for producing magnesium hydroxide [Mg(OH)(2)) from alkaline-earth Mg-silicate rock that contains iron, such as serpentinite. Once produced Mg(OH)(2) could be used to sequester carbon either by direct mineralization at a power plant or from the air, or as a means to deliver alkalinity to the ocean thus tending to restore oceanic pH and sequester atmospheric carbon. Fe-containing by-products obtained from producing Mg(OH)(2) are considered to be beneficial as secondary raw materials for iron-and steel-making industries. It has been proposed that this could further reduce CO2 emissions as well as raw material costs. However, this study hypothesized that the extent of this benefit, if any, would depend on energy intensity of reactions involving iron compounds. Using Aspen Plus (R) software, the contribution of iron to the energy input requirement of CO2 sequestration was modeled. Results obtained showed that the extraction of iron from Mg-silicate minerals could present a significant energy penalty to the mineralization process. Exergy analysis shows that at the experimental optimal temperature of 400 degrees C, the energy penalties of having iron oxide (FeO), hematite (Fe2O3) and magnetite (Fe3O4) as dominant iron compounds results are (for 10 wt.% Fe in the rock) an increase of 0.3 GJ/t CO2 (7%), 0.7 GJ/t CO2 (20%) and 2.2 GJ/t CO2 (60%) respectively when compared to an iron-free base case. Recovery of input raw material, ammonium sulfate (AS) by evaporative crystallization is a major energy intensive step in this process. However, our model applied mechanical vapor recompression (MVR), which resulted in a significant reduction in energy demand. It can be concluded that the benefit of producing useful Fe by-products comes with an energy penalty, the extent of which varies with the form of Fe compound in the mineral. The findings in this paper are useful in determining which Mg-silicate-based rocks would be energy efficient for use. (C) 2011 Elsevier Ltd. All rights reserved.",Mineral carbonation; Mg-silicates; Magnesium hydroxide; Iron compounds; CO2 mineralization; Exergy analysis,Article,2012.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,1,1
44923,Impacts of artificial ocean alkalinization on the carbon cycle and climate in Earth system simulations,"Using the state-of-the-art emissions-driven Max Planck Institute Earth system model, we explore the impacts of artificial ocean alkalinization (AOA) with a scenario based on the Representative Concentration Pathway (RCP) framework. Addition of 114 Pmol of alkalinity to the surface ocean stabilizes atmospheric CO2 concentration to RCP4.5 levels under RCP8.5 emissions. This scenario removes 940 GtC from the atmosphere and mitigates 1.5 K of global warming within this century. The climate adjusts to the lower CO2 concentration preventing the loss of sea ice and high sea level rise. Seawater pH and the carbonate saturation state (O) rise substantially above levels of the current decade. Pronounced differences in regional sensitivities to AOA are projected, with the Arctic Ocean and tropical oceans emerging as hot spots for biogeochemical changes induced by AOA. Thus, the CO2 mitigation potential of AOA comes at a price of an unprecedented ocean biogeochemistry perturbation with unknown ecological consequences.",,Article,2016.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,1,1
374648,Coupling Mineral Carbonation and Ocean Liming,"The process by which basic/ultrabasic silicate minerals (e.g., olivine) are reacted with CO2 to produce solid carbonate minerals (""mineral carbonation"") has been suggested as a method to sequester carbon dioxide from point sources into stable carbonate minerals. Alternatively, the addition of lime (produced from calcining carbonate minerals) to the surface ocean (""ocean liming""), which results in an increase in ocean pH and a draw-down of atmospheric CO2 has been proposed as a ""geoengineering"" technology, which stores carbon as dissolved alkalinity in the surface ocean. Combining these approaches, in which the magnesium carbonate minerals produced from mineral carbonation are used as a feedstock for ocean liming (mineral carbonation-ocean liming; MC-OL); may reduce the limitations of individual technologies while maximizing the benefits. Approximately 1.9 metric tons of magnesium silicate (producing 0.7 ton of magnesium oxide) are required for every net ton of CO2 sequestered. A total of 0.7 ton of CO2 is produced from this activity, 70% of which is high-purity (>98%) from calcining and potentially amenable for geological storage. The technology can be conceptually viewed as an alternative to direct air capture and swaps ambient CO2 for high-purity point source CO2. MC-OL requires approximately 4.9 and 2.2 GJ of thermal and electrical energy ton(-1) of CO2 sequestered. MC-OL has less demand for geological storage; only 0.5 ton of CO2 needs to be injected for every ton of CO2 removed from the atmosphere. However, manipulation of ocean chemistry in this way potentially creates an additional environmental impact (localized elevated pH or co-dissolution of trace metals) and requires attention.",,Article,2013.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,1,1
160631,Drivers of the carbonate system seasonal variations in a Mediterranean gulf,"The effects of different physical and biogeochemical drivers on the carbonate system were investigated in a semi-enclosed coastal area characterized by high alkalinity riverine discharge (Gulf of Trieste, Northern Adriatic Sea, Mediterranean Sea). Our 2-year time-series showed that a large part of the seasonal carbonate chemistry variation was controlled by the large seasonal change of seawater temperature, though air-sea CO2 exchange, biological activity (primary production-respiration), and riverine inputs also exerted a significant influence. With the exception of summer, the Gulf of Trieste was a sink of atmospheric carbon dioxide, showing a very strong CO2 fluxes from atmosphere into the sea (-16.10 mmol m(-2) day(-1)) during high wind speed event of north easterly Bora wind. The CO2 influx was particularly evident in winter, when the biological activity was at minimum and the low seawater temperature enhanced CO2 solubility. During spring, the drawdown of CO2 by primary production overwhelmed the CO2 physical pump, driving a significant decrease of dissolved inorganic carbon (DIC), [CO2], and increase of pH(T25) (degrees C). In summer the primary production in surface waters occurred with the same intensity as respiration in the bottom layer, so the net biological effect on the carbonate system was very low and the further reduction of seawater CO2 concentration observed was mainly due to carbon dioxide degassing induced by high seawater temperature. Finally, during autumn the respiration was the predominant process, which determined an overall increase of DIC, [CO2], and decrease of pH(T25) (degrees C). This was particularly evident when the breakdown of summer stratification occurred and a large amount of CO2, generated by respiration and segregated below the pycnocline, was released back to the whole water column. Local rivers also significantly affected the carbonate system by direct input of total alkalinity (A(T)) coming from the chemical weathering of carbonate rocks, which dominate the river watershed. Our finding clearly demonstrates a high A(T) concentration in low salinity surface waters (A(T) max = 2742.8 mu mol kg(-1)) and a negative A(T)-salinity correlation. As a result the Gulf of Trieste revealed a low Revelle factor (10.1) and one of the highest buffer capacities of the Mediterranean Sea (ss(Dic) = 0.31 mmol kg(-1)), which allows the system to store a significant amount of atmospheric CO2 with a small decrease of seawater pH. (C) 2015 Elsevier Ltd. All rights reserved.",pH; Carbonate system; Buffer capacity; River; Ocean acidification; Gulf of Trieste; Adriatic Sea; Mediterranean Sea,Article; Proceedings Paper,2016.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,0,0
46963,The role of carbonates in the evolution of early martian oceans,"Central to the question of Life on Mars is whether there has been liquid water on the martian surface and how the planet could have evolved from possible initial warm and wet conditions to the cold and dry present state. Virtually all models for this climatic evolution rely strongly on the removal of an initial thick carbon dioxide atmosphere by precipitation of carbonate minerals from surface waters that may have been quite similar to those of Hadean Eon Earth's oceans. In order for this to occur, a hydrologic cycle would be necessary in which chemical weathering of silicate rocks consumes CO2 that precipitates as carbonates in an acidic martian ocean which probably had a very high alkalinity. The consumption of atmospheric CO2 by this process would result in a gradual decrease of the atmospheric greenhouse influence and cooling of the climate. Once the surface of Mars became cold enough so that freezing conditions prevailed the hydrologic cycle would largely cease, and the uptake of CO2 by silicate rock weathering would greatly diminish. The alkalinity of the freezing seawater would probably be sufficient to result in the removal of all calcium as calcium carbonate. Some magnesium and sodium would also likely be removed as carbonates as well. The removal of these cations as carbonates has a major influence on the final temperature at which liquid brines would be able to persist on the surface of Mars. During the period of freezing, the oceans would act as a source of CO2 rather than a sink, further slowing the rate of climate change on Mars.",,Article,1999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,0,0
4926155,Antacids for the Sea? Artificial Ocean Alkalinization and Climate Change,"There is increasing urgency for large-scale deployment of carbon-removal approaches to help avoid passing critical climatic thresholds. Given the severe risks of many terrestrial methods at extremely large scales, there is a compelling need to also assess the potential of marine negative-emissions technologies, such as artificial ocean alkalinization.",,Article,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1,,1,1
377650,The role of forest trees and their mycorrhizal fungi in carbonate rock weathering and its significance for global carbon cycling,"On million-year timescales, carbonate rock weathering exerts no net effect on atmospheric CO2 concentration. However, on timescales of decades-to-centuries, it can contribute to sequestration of anthropogenic CO2 and increase land-ocean alkalinity flux, counteracting ocean acidification. Historical evidence indicates this flux is sensitive to land use change, and recent experimental evidence suggests that trees and their associated soil microbial communities are major drivers of continental mineral weathering. Here, we review key physical and chemical mechanisms by which the symbiotic mycorrhizal fungi of forest tree roots potentially enhance carbonate rock weathering. Evidence from our ongoing field study at the UK's national pinetum confirms increased weathering of carbonate rocks by a wide range of gymnosperm and angiosperm tree species that form arbuscular (AM) or ectomycorrhizal (EM) fungal partnerships. We demonstrate that calcite-containing rock grains under EM tree species weather significantly faster than those under AM trees, an effect linked to greater soil acidification by EM trees. Weathering and corresponding alkalinity export are likely to increase with rising atmospheric CO2 and associated climate change. Our analyses suggest that strategic planting of fast-growing EM angiosperm taxa on calcite- and dolomite-rich terrain might accelerate the transient sink for atmospheric CO2 and slow rates of ocean acidification. Carbonate mineral weathering in forest soils could act as a transient sink for anthropogenic CO (2) over human timescales of decades to centuries. Our manuscript reviews key physical and chemical mechanisms of carbonate weathering by mycorrhizal fungi of forest tree roots. We also present results of an ongoing field study at the UK's National Pinetum that demonstrates enhanced carbonate weathering by a range of tree species, particularly by ectomycorrhizal species.",alkalinity; arbuscular mycorrhiza; chemical weathering; climate change; ectomycorrhiza; soil carbonates; soil pH,Review,2015.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0,,0,0
923431,Quantifying and Comparing Effects of Climate Engineering Methods on the Earth System,"To contribute to a quantitative comparison of climate engineering (CE) methods, we assess atmosphere-, ocean-, and land-based CE measures with respect to Earth system effects consistently within one comprehensive model. We use the Max Planck Institute Earth System Model (MPI-ESM) with prognostic carbon cycle to compare solar radiation management (SRM) by stratospheric sulfur injection and two carbon dioxide removal methods: afforestation and ocean alkalinization. The CE model experiments are designed to offset the effect of fossil-fuel burning on global mean surface air temperature under the RCP8.5 scenario to follow or get closer to the RCP4.5 scenario. Our results show the importance of feedbacks in the CE effects. For example, as a response to SRM the land carbon uptake is enhanced by 92Gt by the year 2100 compared to the reference RCP8.5 scenario due to reduced soil respiration thus reducing atmospheric CO2. Furthermore, we show that normalizations allow for a better comparability of different CE methods. For example, we find that due to compensating processes such as biogeophysical effects of afforestation more carbon needs to be removed from the atmosphere by afforestation than by alkalinization to reach the same global warming reduction. Overall, we illustrate how different CE methods affect the components of the Earth system; we identify challenges arising in a CE comparison, and thereby contribute to developing a framework for a comparative assessment of CE.",climate engineering; geoengineering; solar radiation management; carbon dioxide removal; Earth system modelling; carbon cycle,Article,2018.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,1,,1,1
